genere,sottogenere
black metal,atmospheric black metal
singer-songwriter,avtorskaya pesnya
progressive rock,avant-prog
pop,avant-garde pop
keroncong,langgam jawa
jazz,avant-garde jazz
metal,avant-garde metal
sludge metal,atmospheric sludge metal
rock,art rock
punk,art punk
pop,art pop
medieval,ars antiqua
medieval,ars nova
medieval,ars subtilior
funk brasileiro,arrocha funk
rock,anatolian rock
rock,arena rock
hip hop,arabesk rap
folk,appalachian folk
rock,aor
contemporary folk,anti-folk
punk,anarcho-punk
contemporary folk,american primitive guitar
ambient,ambient americana
house,ambient house
harsh noise wall,ambient noise wall
pop,ambient pop
techno,ambient techno
trance,ambient trance
house,amapiano
country,alternative country
rock,alternative rock
punk,alternative punk
pop,alternative pop
contemporary folk,avant-folk
hip hop,alternative hip hop
contemporary folk,alternative folk
metal,alternative metal
electronic,algorave
j-pop,akishibu-kei
dark electro,aggrotech
hip hop,afroswing
jazz,afro-jazz
latin jazz,afro-cuban jazz
funk,afro-funk
hip hop,afro trap
rock,afro rock
blues,african blues
texas blues,acoustic texas blues
texas blues,electric texas blues
blues,texas blues
chicago blues,acoustic chicago blues
blues,chicago blues
rock,acoustic rock
blues,acoustic blues
trance,acid trance
techno,acid techno
house,acid house
psychedelic rock,acid rock
hip hop,abstract hip hop
uk garage,2-step
ska,2 tone
hardcore punk,burning spirits
pop rock,burmese stereo
highlife,burger-highlife
hardcore techno,belgian techno
pop,bubblegum pop
edm,bubblegum bass
progressive rock,brutal prog
death metal,brutal death metal
dubstep,brostep
country pop,bro-country
alternative rock,britpop
r&b,british rhythm & blues
folk rock,british folk rock
blues,british blues
hardcore hip hop,britcore
funk,brit funk
pop,brill building
brega,brega calypso
breakbeat,acid breaks
breakbeat,big beat
breakbeat,breakbeat hardcore
breakbeat,nu skool breaks
breakbeat,progressive breaks
breakcore,lolicore
breakcore,mashcore
comedy,break-in
hip hop,bounce
samba,bossa nova
hip hop,boom bap
blues,boogie-woogie
blues rock,boogie rock
disco,boogie
latin,boogaloo
hip hop,bongo flava
canción melódica,bolero-beat
bluegrass,bluegrass gospel
bluegrass,progressive bluegrass
country,bluegrass
r&b,blue-eyed soul
techno,bleep techno
death metal,blackened death metal
crust punk,blackened crust
noise,black noise
black metal,depressive black metal
black metal,melodic black metal
black metal,pagan black metal
black metal,symphonic black metal
black metal,war metal
metal,black metal
dark ambient,black ambient
black metal,black 'n' roll
bit music,bytebeat
bit music,chiptune
electronic,bit music
house,big room house
jazz,big band
progressive electronic,berlin school
chinese opera,beijing opera
chinese opera,cantonese opera
chinese opera,yue opera
beijing opera,chinese revolutionary opera
indie pop,bedroom pop
jazz,bebop
hardcore punk,beatdown hardcore
poetry,beat poetry
pop rock,beat music
funk mandelão,beat bruxaria
hip hop,battle rap
brega funk,batidão romântico
edm,breakcore
edm,bubbling
kuduro,batida
uk garage,bassline
house,bass house
pop,baroque pop
western classical,baroque
pop,bardcore
banda sinaloense,technobanda
house,balearic beat
country,bakersfield sound
folk,bagad
latin,bachata
jazz,cape jazz
celtic,cape breton fiddling
cantoria,repente
c-pop,cantopop
c-pop,mandopop
c-pop,zhongguo feng
psychedelic rock,canterbury scene
pop,canción melódica
zouk,cabo zouk
musical,cabaret
indie pop,c86
pop,c-pop
grindcore,cybergrind
industrial metal,cyber metal
cumbia,cumbia argentina
cumbia argentina,cumbia turra
cumbia argentina,cumbia villera
cumbia mexicana,cumbia sonidera
cumbia argentina,cumbia santafesina
cumbia argentina,cumbia pop
cumbia,cumbia peruana
norteño,cumbia norteña mexicana
cumbia,cumbia mexicana
reggaeton,cubatón
crust punk,neocrust
crust punk,stenchcore
hardcore punk,crust punk
hip hop,crunk
progressive rock,crossover prog
jazz,crossover jazz
jazz,crime jazz
punk,cowpunk
edm,coupé-décalé
country pop,countrypolitan
country,country yodeling
traditional country,country gospel
blues,country blues
traditional country,country boogie
sierreño,corrido tumbado
jazz,cool jazz
r&b,contemporary r&b
jazz,contemporary jazz
folk,contemporary folk
gospel,contemporary gospel
country,contemporary country
western classical,contemporary classical
pop,contemporary christian
hip hop,conscious hip hop
electronic,experimental electronic
electro house,complextro
edm,baltimore club
rock,comedy rock
hip hop,comedy hip hop
post-punk,coldwave
electronic,club
hip hop,cloud rap
traditional country,close harmony
pop,classical crossover
rock,classic rock
jazz,classic jazz
country,classic country
blues,classic blues
pop,city pop
western classical,ballet
drum and bass,dubwise
rock,christian rock
metal,christian metal
hip hop,christian hip hop
polka,schottische
hip hop,chopped and screwed
hip hop,chipmunk soul
indietronica,chillwave
electronic,chillsynth
dubstep,chillstep
hip hop,chicano rap
soul,chicago soul
pop rap,chicago bop
chanson française,chanson réaliste
chanson française,chanson à texte
indie pop,chamber pop
contemporary folk,chamber folk
folk rock,celtic rock
folk punk,celtic punk
new age,celtic new age
folk metal,celtic metal
celtic,irish folk
folk,celtic
electronic,horror synth
synthwave,darksynth
drum and bass,darkstep
psytrance,dark psytrance
jazz,dark jazz
neofolk,dark folk
electro-industrial,dark electro
vaporwave,mallsoft
vaporwave,broken transmission
pop,dansband
sōkyoku,danmono
dancehall,ragga
dancehall,shatta
reggae,dancehall
rock,dance-rock
post-punk,dance-punk
pop,dance-pop
hardcore punk,d-beat
norteño,duranguense
electronic,dungeon synth
indie rock,dunedin sound
minimal techno,dub techno
poetry,dub poetry
reggae,dub
drum and bass,drumstep
hip hop,drumless hip hop
metal,drone metal
drum and bass,drill and bass
idm,drill and bass
trap,drill
electronic,drift phonk
vaporwave,dreampunk
trance,dream trance
alternative rock,dream pop
electronic,downtempo
hardcore techno,doomcore
doom metal,funeral doom metal
doom metal,traditional doom metal
metal,doom metal
r&b,doo-wop
indie pop,donosti sound
hard house,hardbass
hard house,donk
progressive metal,djent
jazz,dixieland
diva house,hardbag
house,diva house
technical death metal,dissonant death metal
southern hip hop,dirty south
hip hop,digicore
hindustani classical,dhrupad
trap,detroit trap
techno,detroit techno
stoner rock,desert rock
pop,denpa
soca,dennery segment
blues,delta blues
techno,deep techno
soul,deep soul
house,deep house
funk,deep funk
edm,deconstructed club
brostep,deathstep
punk rock,deathrock
doom metal,death-doom metal
metal,death metal
industrial,death industrial
death metal,death 'n' roll
speedcore,extratone
hip hop,experimental hip hop
rock,experimental rock
big band,experimental big band
easy listening,exotica
singer-songwriter,euskal kantagintza berria
pop,europop
dance,eurodance
dance,eurobeat
disco,euro-disco
house,euro house
jazz,ethio-jazz
dark wave,ethereal wave
traditional doom metal,epic doom metal
post-industrial,epic collage
screamo,emoviolence
emo,emocore
post-hardcore,emocore
emo,midwest emo
alternative rock,emo
post-hardcore,emo
coco,embolada
surf rock,eleki
punk,electropunk
pop,electropop
electronic,electronica
industrial,electro-industrial
funk,electro-funk
edm,electro latino
house,electro house
dance,electro
electric blues,electric texas blues
blues,electric blues
electronic,edm
post-industrial,ebm
pop punk,easycore
pop,easy listening
hip hop,east coast hip hop
free improvisation,eai
edm,future rave
electronic,futurepop
house,future house
uk garage,future garage
house,future funk
future bass,future core
future bass,kawaii future bass
edm,future bass
house,funky house
electronic,funktronica
edm,funkot
sertanejo universitário,funknejo
funk brasileiro,funk proibidão
funk brasileiro,funk ostentação
funk brasileiro,funk melody
funk brasileiro,funk mandelão
hardcore techno,frenchcore
house,french house
electro house,french electro
hardcore techno,freeform hardcore
techno,free tekno
jazz,free jazz
psychedelic folk,free folk
rock,freakbeat
edm,freestyle
psychedelic folk,freak folk
forró,forró eletrônico
forró,forró universitário
edm,footwork
electronic,folktronica
rock,folk rock
punk,folk punk
metal,folk metal
dancehall,flex dance music
electronic,flashcore
dark psytrance,psycore
western classical,cantata
outsider house,lo-fi house
musical,rock musical
pop,flamenco pop
flamenco,nuevo flamenco
tango,finnish tango
contemporary folk,filk
bolero,filin
electro house,fidget house
fandango,fandango caiçara
fado,fado de coimbra
punk rock,gypsy punk
jazz,gypsy jazz
spoken word,guided meditation
rumba cubana,guaguancó
alternative rock,grunge
beat music,group sounds
metal,groove metal
edm,grime
plainchant,gregorian chant
alternative rock,grebo
house,gqom
rock,gothic rock
metal,gothic metal
alternative country,gothic country
reggae,gospel reggae
goregrind,gorenoise
grindcore,goregrind
funk,go-go
indietronica,glitch pop
electronic,glitch
rock,glam rock
hard rock,glam metal
edm,ghettotech
house,ghetto house
hip hop,genge
garage rock,garage rock revival
rock,garage rock
house,garage house
hip hop,gangsta rap
gamelan,balinese gamelan
gamelan,javanese gamelan
balinese gamelan,gamelan semar pegulingan
javanese gamelan,gamelan sekaten
balinese gamelan,gamelan jegog
balinese gamelan,gamelan gong kebyar
balinese gamelan,gamelan gong gede
balinese gamelan,gamelan gender wayang
gamelan,gamelan degung
balinese gamelan,gamelan beleganjur
balinese gamelan,gamelan angklung
gamelan,malay gamelan
balinese gamelan,gamelan selunding
balinese gamelan,gamelan joged bumbung
javanese gamelan,gamelan salendro
javanese gamelan,gamelan siteran
hardcore techno,gabber
hip hop,g-funk
western classical,motet
indie rock,hamburger schule
trance,euro-trance
edm,hands up
hardcore techno,happy hardcore
jazz,hard bop
happy hardcore,bouncy techno
