Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Dead Can Dance,7,6,6,6
Eterea Post Bong Band,7,0,7,0
Krapach,7,6,5,5
Outkast,7,3,3,2
Del Barrio,7,2,4,2
Oh Hiroshima,7,3,3,2
Subsonica,7,3,4,3
99 Posse,7,6,6,5
Friedrich Gulda,7,3,3,2
Renzo Arbore,7,4,5,3
AJJ,7,7,4,4
The Black Dahlia Murder,7,5,4,4
Albert Guinovart,7,7,5,5
Tones And I,7,2,1,1
Cuong Vu,7,6,6,6
Perigeo,7,4,2,2
Alexis Ffrench,7,7,4,4
Chiquinha Gonzaga,7,7,6,6
Paulo Moura & Raphael Rabello,7,7,6,6
Maisha,7,4,2,1
Friedrich Nietzsche,7,1,5,1
Sun Ra,7,3,2,1
L. Subramaniam,7,3,1,1
Poppy Ackroyd,7,7,5,5
Blå Tåget,7,6,6,5
Mikis Theodorakis,7,6,7,6
Yuja Wang,7,7,6,6
Weval,7,6,4,3
Andreas Vollenweider,7,6,7,6
Tony Renis,7,5,5,4
Warren Zevon,7,3,3,1
The Whitest Boy Alive,7,5,5,3
Gábor Szabó,7,7,3,3
Tim Hardin,7,6,2,2
Camille Bertault,7,6,7,6
Pedro Laza Y Sus Pelayeros,7,6,3,3
KASHIWA Daisuke,7,6,2,2
Seu Jorge,7,4,6,4
8D Tunes,7,1,6,1
Zoltán Kodály,7,4,3,2
Boubacar Traoré,7,6,3,3
Bellini,7,2,3,1
Cellar Darling,7,5,3,3
Alban Berg,7,2,5,2
ReVamp,7,7,5,5
Henri Texier,7,7,3,3
Constantinople,7,5,5,4
Gesu No Kiwami Otome,7,2,6,2
St Germain,7,1,2,1
Pepeu Gomes,7,1,5,1
Sajanka,7,7,4,4
Tom Ashbrook,7,4,2,2
JBM,7,3,1,1
Gil Evans,7,7,4,4
Perfume Genius,7,7,5,5
The Righteous Brothers,7,6,1,1
Peggy Lee,7,6,5,4
Ray Barretto,7,7,6,6
Dimension Latina,7,7,2,2
Hugh Masekela,7,7,2,2
Ando Drom,7,7,5,5
Buika,7,3,3,2
Norbert Susemihl,7,3,5,3
Arlo Parks,7,5,4,3
Rodrigo Leão,7,7,2,2
Booker T. & the M.G.'s,7,4,2,2
Robotflow,7,4,5,3
After The Burial,7,7,5,5
Bleed From Within,7,6,3,3
Emmure,7,6,4,4
Mercedes Sosa,7,5,5,3
Soneros De Verdad,7,6,1,1
Lizz Wright,7,5,4,3
Royal Liverpool Philharmonic Orchestra,7,7,4,4
DROELOE,7,7,5,5
G Jones,7,7,4,4
Grupo Celeste,7,6,6,5
LA Nightcore,7,6,2,1
Yoke Lore,7,4,5,3
Emma Stone,7,5,2,2
Silvana Estrada,7,6,6,6
Cosmic Flow,7,7,1,1
Vermont (BR),7,4,3,3
Ricky Nelson,7,7,2,2
Lofi Cat,7,7,7,7
Sailor zephyr aka Captain Heartbroken,7,7,7,7
Phlocalyst,7,7,7,7
Victor Assis Brasil,7,5,6,5
Colectivo Panamera,7,3,4,3
Jason Mraz,7,5,2,1
Ainda,7,6,4,3
Peter von Poehl,7,5,1,1
The Antlers,7,7,4,4
Elisabeth Schwarzkopf,7,7,5,5
Ross from Friends,7,6,6,5
Berna Jam,7,7,5,5
Liturgy,7,3,6,3
Wilmoth Houdini,7,5,1,1
Juana Molina,7,7,5,5
Cielo Gris,7,5,1,1
Grupo Guinda,7,7,2,2
Toña La Negra,7,4,5,4
Nana Grizol,7,6,4,4
Weatherday,7,4,3,1
Keaton Henson,7,7,6,6
Son Lux,7,6,5,5
Ollie MN,7,6,3,3
Doss,7,6,4,4
Jadu Jadu,7,6,7,6
Manose,7,5,5,5
Liana Flores,7,6,2,2
Stereoclip,7,6,4,4
McKinley Dixon,7,7,5,5
Jlin,7,7,5,5
Mabe Fratti,7,7,4,4
Najoua Belyzel,7,6,3,3
Christian Lee Hutson,7,7,4,4
James Ferraro,7,7,3,3
Dauwd,7,7,3,3
Hovvdy,7,7,3,3
Little Joy,7,6,3,3
Sköne,7,5,4,3
LI YILEI,7,7,4,4
Fucksia,7,3,4,3
Passion Coco,7,6,2,2
Eddy de Pretto,7,7,3,3
Nice As Fuck,7,7,3,3
Cyberbully Mom Club,7,5,3,3
Charlotte Dos Santos,7,4,4,4
Emrod,7,5,3,3
Catie Turner,7,7,4,4
Skullcrusher,7,2,3,2
Green Team,7,7,2,2
Les Yeux D'La Tête,7,6,2,2
Jessica Pratt,7,6,5,5
Piccoli Cani Squadra,7,5,7,5
Dylan,7,7,4,4
The Walters,7,6,3,3
Kacem Wapalek,7,5,1,1
torr,7,7,1,1
Folie,7,5,4,4
Baiuca,7,5,4,4
Ditonellapiaga,7,3,3,1
Richard Settlement,7,5,7,5
UNLOGIX,7,6,4,4
Harriette,7,7,2,2
Yaya Bey,7,7,6,6
Louis Cole,7,5,6,5
Material Girl,7,7,5,5
Lord Huron,7,7,5,5
Syberia,7,7,3,3
Lisandro Meza,7,7,5,5
Klein,7,5,5,5
I Hate Myself Because,7,4,2,2
Safety Trance,7,6,3,3
Bloom OS,7,6,3,3
PSYQUI,7,5,3,3
Louis The Child,7,6,3,3
Kahimi Karie,7,7,3,3
acounta,7,6,1,1
Enrique Delgado,7,7,5,5
Mondo Generator,7,7,7,7
Rachika Nayar,7,7,5,5
Golden Brown,7,6,4,3
Color Filter,7,7,5,5
Steve Hauschildt,7,7,3,3
Eyedress,7,7,2,2
Altea,7,7,3,3
Felix Rösch,7,7,5,5
HTRK,7,3,3,2
Sneaks,7,7,5,5
Wintersun,7,5,2,2
Margo Guryan,7,7,7,7
Kiemsa,7,6,1,1
Culture Club,7,5,2,2
Marcus & Martinus,7,7,1,1
Slimane,7,7,1,1
Marina Satti,7,4,1,1
iolanda,7,6,1,1
Eden Golan,7,7,1,1
Syrex,7,5,4,4
Vladimir Cauchemar,7,6,4,4
Dov'è Liana,7,6,5,5
Lilly Legit,7,6,4,4
Alkaline Trio,7,5,4,4
Ilkae,7,6,4,4
Lucho Bermúdez,7,4,3,2
Bloodhound Gang,7,6,5,5
Princ€ss,7,1,1,1
bodyimage,7,5,1,1
ADÉS THE PLANET,7,7,5,5
Zammuto,7,5,6,4
Delain,7,7,7,7
Sonny Wern,7,5,1,1
Blasterjaxx,7,5,2,2
Aaron May,7,7,7,7
Pseudospettri,7,4,4,3
Canzoniere Grecanico Salentino,7,5,5,4
Blackmail,7,6,4,4
camoufly,7,6,7,6
Jarabe De Palo,7,6,6,6
Amparito MC,7,5,4,4
Yung Aeon,7,6,4,4
Swing,7,7,5,5
Getdown Services,7,4,2,2
Maxime Denuc,7,6,6,6
Los Muñequitos De Matanzas,7,7,6,6
sheng,7,5,4,4
New Swing Sextet,7,7,2,2
Anda Union,7,7,7,7
Fausto Amodei,7,6,3,2
Girlfriends,6,5,6,5
Exxasens,6,1,4,1
S. Carey,6,2,3,1
Cristin Milioti,6,3,1,1
Lowercase Noises,6,5,4,4
Sofi Tukker,6,3,6,3
The White Stripes,6,5,5,4
Small Faces,6,5,3,3
Duran Duran,6,2,5,2
Silver Mt. Zion,6,6,3,3
Foals,6,4,5,4
Galeffi,6,5,5,4
Gomma,6,1,5,1
Prezioso,6,5,2,2
Pink Guy,6,2,4,2
Ace Ventura,6,5,3,2
Leon Russell,6,3,4,3
Acqua Fragile,6,1,3,1
CASIOPEA,6,4,3,2
Pendulum,6,0,3,0
Carter Burwell,6,5,4,3
Glenn Close,6,4,2,2
Benji & Fede,6,3,6,3
Simple Minds,6,3,6,3
Matrioska,6,5,4,4
Everything But The Girl,6,1,5,1
Sinwo,6,6,1,1
Quentin Sirjacq,6,2,1,1
Andy Williams,6,6,3,3
The Ronettes,6,5,2,2
GionnyScandal,6,2,4,2
Chinese Football,6,5,4,4
Ligabue,6,2,4,2
Victor Wooten,6,5,3,3
Choeur De Radio Belgrade,6,1,1,1
Rachid Taha,6,5,3,3
La Caravane Passe,6,5,4,3
Timmy Trumpet,6,3,4,2
Natalie Imbruglia,6,3,2,1
Nick Jonas,6,0,6,0
Oskar Schuster,6,5,4,4
Clannad,6,3,4,2
Paul Gilbert,6,4,3,2
Gotan Project,6,6,4,4
Gustavo Santaolalla,6,6,4,4
Midlake,6,6,5,5
NanowaR of Steel,6,6,6,6
Lionel Richie,6,5,5,4
Destiny Potato,6,1,3,1
Glenn Miller,6,3,5,3
Ozzy Osbourne,6,3,4,3
Neelix,6,4,5,4
The Everly Brothers,6,6,4,4
Captain Hook,6,5,4,4
Michel Petrucciani,6,4,6,4
Marracash,6,3,6,3
Emmylou Harris,6,6,6,6
Roberto Vecchioni,6,5,4,3
Little River Band,6,6,4,4
Harold Melvin & The Blue Notes,6,3,5,3
Manu Dibango,6,6,2,2
Clint Mansell,6,0,3,0
The Isley Brothers,6,3,5,3
The O'Jays,6,3,2,2
Pulp,6,4,4,3
Lucinda Williams,6,5,4,3
Dave Edmunds,6,2,2,2
Patsy Cline,6,6,2,2
Tash Sultana,6,6,4,4
Astrud Gilberto,6,5,3,3
Two Door Cinema Club,6,5,4,3
Roger Hodgson,6,6,2,2
Ferruccio Busoni,6,4,4,2
Canova,6,6,5,5
Lenny Kravitz,6,2,4,2
Paco de Lucía,6,3,5,3
Cluster,6,5,3,3
Bruno Lauzi,6,5,3,2
Orchestral Manoeuvres In The Dark,6,5,4,4
Wes Montgomery,6,6,5,5
The Cinematic Orchestra,6,5,3,2
John Lee Hooker,6,3,3,2
The Squires,6,6,6,6
Il Bacio della Medusa,6,5,5,4
Secret Oyster,6,4,5,4
Strawberry Alarm Clock,6,4,4,3
Westminster Choir,6,5,1,1
öOoOoOoOoOo,6,2,2,1
Mr. Bill,6,5,6,5
Amon Tobin,6,6,5,5
Pouya,6,6,6,6
The Miracles,6,6,5,5
Bombino,6,4,5,4
Karl-Birger Blomdahl,6,5,2,2
Nusrat Fateh Ali Khan,6,5,3,3
Faun,6,6,4,4
DJ Matrix,6,2,6,2
Kara-Lis Coverdale,6,5,6,5
Donald Beavers,6,1,5,1
Russkaja,6,4,4,3
Orishas,6,4,3,3
Jim Hall,6,5,2,2
Madvillain,6,6,5,5
Willie Nelson,6,4,5,4
Leo Nucci,6,6,4,4
The Sweet Things,6,6,5,5
Susan Barrett,6,6,3,3
Yves Montand,6,4,4,3
Doris Day,6,4,3,2
John Tavener,6,6,3,3
The Human Experience,6,4,6,4
James P. Johnson,6,6,1,1
Jimmy Carroll,6,6,1,1
Anderson Bruford Wakeman Howe,6,4,5,4
Clara Luciani,6,4,3,2
Franco Leoni,6,6,6,6
Ricchi E Poveri,6,5,4,4
Serj Tankian,6,5,3,2
Venerus,6,2,4,2
The Platters,6,6,3,3
Israel Kamakawiwo'ole,6,3,3,2
Calle 13,6,5,4,4
Preservation Hall Jazz Band,6,4,5,4
WILLOW,6,3,4,3
Benny Carter,6,6,6,6
Shaman's Dream,6,4,4,3
Toru Takemitsu,6,6,5,5
Julie Andrews,6,4,3,2
Alceu Valença,6,0,4,0
Rita Payés,6,4,4,3
Massive Attack,6,5,2,2
Ragnarök,6,5,5,5
downy,6,2,4,2
Martinho Da Vila,6,4,5,4
Horse Lords,6,5,5,4
Martyn Heyne,6,4,4,4
Zeca Pagodinho,6,4,4,4
O/Modernt Chamber Orchestra,6,1,1,1
Baptiste Trotignon,6,3,1,1
Gilad Hekselman,6,3,1,1
Ursula Duetschler,6,3,2,1
Maciej Rakowski,6,0,3,0
Bruno Pratico,6,2,2,2
j'san,6,6,5,5
Anne Müller,6,6,3,3
Japan Traditional Music Group,6,4,4,4
Elvis Costello,6,4,3,3
Chacalón y la Nueva Crema,6,6,3,3
Imarhan,6,6,4,4
Söndörgő,6,5,2,2
Paul Anka,6,5,6,5
Grupo Niche,6,3,4,2
Banda Ionica,6,6,3,3
Dirk Brossé,6,5,2,2
dEUS,6,5,2,2
Los Ángeles Azules,6,5,3,3
Ska Cubano,6,4,5,4
Ecuador Causary,6,6,4,4
Pedro Salcedo Y Su Orquesta,6,4,3,3
Alfredo Armenteros,6,5,1,1
Kékélé,6,5,1,1
Singles,6,3,3,2
Dagny,6,6,6,6
Gene Ammons,6,6,3,3
The Hives,6,4,5,3
Jeanne Moreau,6,5,3,3
Great Dane,6,6,2,2
Klezmer Conservatory Band,6,4,4,4
Cuarteto Oriente,6,4,1,1
Jerry Folk,6,6,5,5
Billy Paul,6,4,2,2
alva noto,6,3,3,2
Ascent,6,6,1,1
DAKU,6,6,1,1
Dimatik,6,5,3,3
Daniel Avery,6,6,3,3
Akinu,6,6,6,6
Omar Bmar,6,6,5,5
Ural Cossacks Choir,6,4,5,4
Run–D.M.C.,6,0,5,0
Rone,6,6,4,4
Manolito y Su Trabuco,6,5,1,1
Chico César,6,4,1,1
Markéta Irglová,6,4,2,2
Tom Zé,6,5,6,5
Bladee,6,6,6,6
Los Beta 5,6,5,2,2
Los Invasores de Progreso,6,5,3,3
Asaf Avidan,6,5,3,3
Haruomi Hosono,6,6,5,5
Äl Jawala,6,5,4,4
Kelpe,6,6,3,3
Petit Singe,6,6,5,5
Efterklang,6,6,5,5
Mala Sangre,6,5,2,2
Cowgirl Clue,6,6,6,6
Fox Academy,6,5,3,2
Owl Vision,6,6,4,4
Liz Carroll,6,6,3,3
Duncan Chisholm,6,6,4,4
Rolando Bruno,6,5,6,5
Lucho Bermudez Y Su Orquesta,6,5,4,3
Françoiz Breut,6,5,3,3
Robin Schulz,6,4,2,1
Nessi Gomes,6,5,6,5
Snorri Hallgrímsson,6,6,5,5
Bonny Lovy,6,2,1,1
Yaeji,6,3,4,2
Mariya Takeuchi,6,5,3,3
KFC Murder Chicks,6,6,5,5
Jain,6,4,3,2
Salomé Leclerc,6,6,4,4
Turnstile,6,2,5,1
Soledad Bravo,6,5,4,4
Barbara Pravi,6,5,5,4
MUNA,6,5,4,3
Wallen,6,5,2,2
Joyce Jonathan,6,6,2,2
Christophe Willem,6,6,2,2
Vince Staples,6,5,5,5
Pierre Lapointe,6,6,5,5
Daphni,6,6,2,2
Anchorsong,6,5,3,3
Shlohmo,6,6,3,3
Molchat Doma,6,2,2,1
Free Cake For Every Creature,6,5,5,5
Ancestral Elephants,6,6,3,3
Kalbells,6,6,2,2
Madison McFerrin,6,6,4,4
Doctor Flake,6,6,4,4
architecture in tokyo,6,6,4,4
Golden Living Room,6,6,4,4
Neggy Gemmy,6,5,3,3
NIKI DEMAR,6,6,1,1
Grand Corps Malade,6,6,3,3
Zoë Keating,6,4,2,1
David Walters,6,5,2,2
Girls Rituals,6,4,3,2
junodream,6,6,2,2
Noname,6,6,6,6
Spirit,6,6,1,1
Radium,6,3,4,2
Thousand,6,6,4,4
Tomer Baruch,6,4,4,3
FINLINCE!,6,4,3,3
Rural Internet,6,5,4,3
Moin,6,5,3,3
Funki Porcini,6,6,6,6
Daniele Sepe,6,3,5,2
RILEY THE MUSICIAN,6,6,5,5
Musicanova,6,2,1,1
webcage,6,6,5,5
Palehound,6,5,6,5
Romengo,6,6,5,5
Askjell,6,6,2,2
Mele Marce,6,5,6,5
Kikuo,6,5,3,3
Babuchan,6,3,3,3
Rio Romeo,6,4,4,3
Ravyn Lenae,6,6,5,5
CFCF,6,6,3,3
David O'Dowda,6,4,4,3
Sunrise Skater Kids,6,3,3,2
Bnny,6,6,5,5
Tyler Burkhart,6,6,4,4
Ricky Montgomery,6,5,2,2
Rainbow Kitten Surprise,6,5,2,2
Amaia Miranda,6,6,5,5
Jérémy Frerot,6,6,4,4
Resavoir,6,6,3,3
Umitaro Abe,6,6,4,4
Boldy James,6,6,3,3
MIKE,6,6,2,2
USAO,6,6,4,4
The Marías,6,6,6,6
Isaiah Rashad,6,6,4,4
Green-House,6,5,5,4
n i n j a s w o r d,6,6,1,1
Malibu,6,6,2,2
DOOPEES,6,5,3,3
Boney M.,6,3,3,2
Buford Ed,6,6,6,6
Greg Foat,6,6,4,4
Flyte,6,5,3,3
Chance Peña,6,5,3,3
Sabrina Carpenter,6,4,4,2
Gianni Bismark,6,5,6,5
Gabriels,6,6,4,4
Eiafuawn,6,5,1,1
Marcin Dziembor,6,4,2,2
Whitemary,6,6,2,2
Comaneci,6,6,1,1
Pierre de Maere,6,4,3,3
M.I.A.,6,6,3,3
Fishmans,6,6,5,5
Käärijä,6,3,3,2
WHOKILLEDXIX,6,3,3,2
After Forever,6,5,2,2
Lor,6,4,1,1
Clarissa Connelly,6,5,3,3
Aiko,6,5,3,3
ISAAK,6,5,1,1
Jesus Molina,6,5,3,3
Jaxomy,6,2,2,1
AFI,6,3,2,1
Hype Williams,6,5,6,5
ero808,6,4,4,4
James Tillman,6,5,3,3
Vendredi sur Mer,6,4,3,3
The Late Night Project,6,6,1,1
ZISO,6,6,2,2
MUSICAPERBAMBINI,6,6,5,5
Absent Chronicles,6,5,2,2
"Osmani Garcia ""La Voz""",6,6,5,5
Acopia,6,4,5,4
helen island,6,6,4,4
Antonio Castrignanò,6,5,5,5
Frozen Crown,6,6,6,6
Yin Yin,6,6,5,5
PERCEVAL,6,5,3,3
Jeanette,6,5,2,2
Delicatoni,6,6,4,4
Luiz Gonzaga,6,6,6,6
Comagatte,6,4,3,3
Minghi One,6,4,4,2
Tresca Y Tigre,6,6,6,6
Rumi,6,5,1,1
Mick Jenkins,6,5,2,2
We Were Promised Jetpacks,6,6,5,5
Lıʑ,6,6,1,1
candeur cyclone,6,6,5,5
Hood,6,6,6,6
Wayne Gorbea,6,6,2,2
Lykke Li,6,4,6,4
Laboratorium Pieśni,6,6,4,4
C.S.I.,5,5,2,2
Quentin40,5,4,4,3
Dance Gavin Dance,5,0,4,0
Good Tiger,5,5,3,3
Jake La Furia,5,5,1,1
KISS,5,0,3,0
*shels,5,5,2,2
Gucci Mane,5,1,4,1
The Echelon Effect,5,5,2,2
Lights & Motion,5,5,3,3
iwrestledabearonce,5,3,4,3
Martin Garrix,5,2,4,2
Clean Bandit,5,2,3,2
Minus the Bear,5,2,4,1
Pinback,5,4,5,4
You Slut!,5,3,3,2
Pitbull,5,3,4,2
Dead Meadow,5,3,2,2
Hella,5,3,4,3
Francesco De Leo,5,4,3,3
Earthside,5,5,2,2
Valis Ablaze,5,5,5,5
Mastodon,5,4,4,4
Duane Eddy,5,4,3,3
Federico Ricci,5,4,4,4
Daniele Silvestri,5,4,5,4
"Blind, the Thief",5,5,5,5
Waylon Jennings,5,4,4,3
Rhye,5,4,4,4
Allan Holdsworth,5,1,5,1
Sercho,5,3,5,3
Mike + The Mechanics,5,5,3,3
The Raconteurs,5,3,4,2
Tanja Savic,5,1,2,1
Local Natives,5,4,5,4
RefraQ,5,5,3,3
Within Temptation,5,4,5,4
Bert Jansch,5,4,1,1
Ghemon,5,1,4,1
Xavier Rudd,5,3,4,3
Bozzio Levin Stevens,5,2,4,2
Barry White,5,1,2,1
Tom Petty and the Heartbreakers,5,5,5,5
Riverside,5,1,3,1
Steve Vai,5,4,3,3
Drake,5,2,4,2
Jordan Rudess,5,3,3,2
Dorado Schmitt,5,2,1,1
M. Ward,5,4,4,3
Gloria Gaynor,5,4,4,3
Redfield All-Stars,5,3,1,1
Jacques Brel,5,2,4,2
Donny Hathaway,5,5,4,4
John Legend,5,3,4,2
Ravi Shankar,5,4,3,3
Damir Kukuruzović Gipsy Jazz Quintet,5,4,4,3
Ketama,5,4,4,3
Mott The Hoople,5,3,2,2
George Shearing,5,5,2,2
Ofra Haza,5,2,2,1
Ricky Martin,5,1,2,1
Ruggero De I Timidi,5,4,3,2
Chilly Gonzales,5,5,4,4
Steve Howe,5,5,4,4
Maria João Pires,5,5,3,3
Mstislav Rostropovich,5,5,3,3
Robert Plant,5,4,4,3
Phaxe,5,3,3,2
Jacob,5,4,3,3
Coming Soon!!!,5,5,3,3
Sam & Dave,5,5,3,3
Alan Stivell,5,3,5,3
Seventh Wonder,5,3,4,3
Weezer,5,5,3,3
Nino Rota,5,4,4,3
Alex Somers,5,5,4,4
Little Richard,5,4,3,3
Hatfield & The North,5,2,5,2
Doves,5,4,5,4
Il Balletto di Bronzo,5,5,4,4
Richard Hawley,5,2,2,2
Chris Isaak,5,5,4,4
Benny Greb,5,5,5,5
Rick James,5,4,2,2
YELLOW MAGIC ORCHESTRA,5,2,4,2
Captain Beefheart & His Magic Band,5,4,4,4
REO Speedwagon,5,3,3,2
Serge Gainsbourg,5,5,4,4
Owen Pallett,5,5,2,2
Trijntje Oosterhuis,5,3,5,3
In Flames,5,4,5,4
Rare Bird,5,2,3,2
Sergio Endrigo,5,4,5,4
DJ Shadow,5,4,5,4
Ichika Nito,5,3,4,3
Enzo Dong,5,0,2,0
T. Rex,5,4,3,3
The Oh Hellos,5,4,5,4
The Guess Who,5,3,3,2
Hauschka,5,5,2,2
The Prodigy,5,2,5,2
Ms. Lauryn Hill,5,4,5,4
Red Garland,5,5,2,2
Susana Baca,5,3,3,2
Giorgio Moroder,5,2,4,1
Algernon Cadwallader,5,4,5,4
Gryphon,5,5,2,2
Buddy Rich,5,3,3,2
Verdena,5,2,4,2
Henry Mancini Orchestra,5,4,2,2
Vladimir Ashkenazy,5,5,5,5
LIBERATO,5,4,4,3
Secret Garden,5,5,5,5
Hilary Duff,5,0,5,0
Johann Simon Mayr,5,4,4,3
The Sound Of Siam,5,4,4,3
Os Mutantes,5,2,5,2
Ataúlfo Argenta,5,5,5,5
Satanique Samba Trio,5,3,3,3
Brand X,5,4,4,3
Ragtime Jazz Band,5,2,3,2
Anthony Davilio,5,3,1,1
Vanessa Paradis,5,4,3,3
Altamiro Carrilho,5,4,3,2
Waldir Azevedo,5,4,4,4
Sebastiao Tapajós,5,4,4,3
The Ink Spots,5,3,3,3
Renata Scotto,5,4,5,4
Esperanza Spalding,5,4,4,3
Electric Universe,5,5,3,3
Moscow Symphony Orchestra,5,5,5,5
Guru Guru,5,4,5,4
Douglas Cross,5,4,1,1
Frank Reardon,5,5,1,1
Mac Miller,5,2,5,2
Shakti,5,5,1,1
Carpenters,5,5,3,3
Alfa Mist,5,5,4,4
Zbigniew Preisner,5,5,2,2
Tyga,5,2,1,1
Jeremy Soule,5,5,5,5
The Wailers,5,5,5,5
Staatskapelle Dresden,5,5,2,2
Zeitgeist Freedom Energy Exchange,5,1,4,1
Jobii,5,3,4,3
Whitney,5,2,3,2
Henryk Górecki,5,5,3,3
Dutch Swing College Band,5,5,4,4
DJ Koze,5,5,3,3
Vanbur,5,4,2,2
Stevie Ray Vaughan,5,4,4,3
Schroeder-Headz,5,5,5,5
Rega,5,0,2,0
SPECIAL OTHERS ACOUSTIC,5,4,3,3
２８１４,5,3,4,3
paranoid void,5,3,3,3
Calibro 35,5,3,2,2
Lúnasa,5,3,1,1
Melt-Banana,5,3,3,2
Michael Kiwanuka,5,3,5,3
Jun Miyake,5,5,3,3
Paris Combo,5,4,1,1
Mondo Grosso,5,2,2,1
Mathias Duplessy,5,5,5,5
Salmo,5,2,3,2
Karine Polwart,5,4,3,3
Siobhan Miller,5,5,3,3
Richard M. Sherman,5,1,2,1
Organ Freeman,5,4,3,3
F.S.Blumm,5,5,5,5
The Souljazz Orchestra,5,4,5,4
Kumpania Algazarra,5,5,4,4
Eddie Daniels,5,3,2,2
Yiruma,5,3,3,2
The Comet Is Coming,5,4,3,3
The Specials,5,4,4,4
Mariachi Vargas De Tecalitlán,5,3,2,1
Los Panchos,5,3,4,2
Grandbrothers,5,3,1,1
Nicolas Jaar,5,4,5,4
The 1975,5,5,5,5
Chassol,5,5,3,3
François Couperin,5,5,5,5
Flughand,5,4,5,4
MFSB,5,0,2,0
Vitamin String Quartet,5,0,3,0
The Stooges,5,0,3,0
Planxty,5,3,2,2
Don Shirley Trio,5,2,1,1
Caoimhín Ó Raghallaigh,5,5,3,3
Yellowman,5,4,2,2
The Fearless Flyers,5,5,4,4
Engelbert Humperdinck,5,5,2,2
Agnes Baltsa,5,4,3,2
Hikaru Utada,5,0,5,0
'o Rom,5,2,1,1
Joseito Fernández,5,5,1,1
Tindersticks,5,5,4,4
About Tess,5,3,4,3
Wun Two,5,3,5,3
Fennesz,5,2,3,2
Joachim Pastor,5,3,3,3
Louis Gruenberg,5,5,5,5
Stefan Wolpe,5,3,3,3
Bab L' Bluz,5,4,5,4
Zes,5,5,4,4
The Devil Wears Prada,5,5,3,3
The Acacia Strain,5,5,4,4
Parkway Drive,5,5,3,3
Bomba Estéreo,5,3,2,2
Los Miticos Del Ritmo,5,4,2,2
Kings of Leon,5,3,4,3
Robert Fripp,5,2,5,2
Alan Rawsthorne,5,3,4,3
Dionysos,5,4,3,3
Beck,5,4,4,3
Faber,5,4,2,2
Daktyl,5,4,3,3
Sam Gellaitry,5,2,3,2
Mikhail Glinka,5,4,5,4
Eliades Ochoa,5,5,3,3
Grand Kallé & L'African Jazz,5,4,1,1
Los Papines,5,4,3,3
MIDORINOMARU,5,4,4,4
Yuta Orisaka,5,5,3,3
Eprom,5,5,4,4
Hudson Mohawke,5,4,4,4
[.que],5,4,3,3
Moscow Death Brigade,5,2,3,2
TNGHT,5,3,3,2
Porter Robinson,5,5,3,3
The Three Degrees,5,2,2,1
Ex:Re,5,4,4,4
New Philharmonia Orchestra,5,5,5,5
Shinovi,5,5,2,2
Sarah Vaughan,5,4,2,2
Andy Shauf,5,5,5,5
Hazmat Modine,5,3,2,1
Lobster Gibbs,5,5,4,4
Linearwave,5,5,5,5
Charmer & Klay,5,5,5,5
Sweetwater,5,5,5,5
Mickey Hart,5,5,5,5
Elohim,5,4,2,1
Ultraísta,5,5,5,5
Beny Moré,5,4,3,3
Leo Marini,5,4,2,2
ARIETE,5,2,5,2
MF DOOM,5,4,4,3
La Sonora Matancera,5,4,3,2
Los Hacheros,5,4,3,3
Bill Whelan,5,3,5,3
Lucy Dacus,5,2,2,1
Yodelice,5,2,2,1
Los Rumbaney,5,4,1,1
Billy Talent,5,3,4,2
Alestorm,5,4,5,4
Jack Johnson,5,4,4,4
Teresa Berganza,5,4,4,3
Bongeziwe Mabandla,5,3,2,2
Tarja,5,3,3,3
Chocolate,5,0,1,0
All Shall Perish,5,5,3,3
Johnny Flynn,5,5,2,2
Demons & Wizards,5,5,2,2
Féloche,5,3,1,1
Tony 2Milli,5,4,2,2
Rogér Fakhr,5,4,3,3
Anakronic Electro Orkestra,5,2,4,1
Boris,5,2,4,2
Mitsoura,5,4,5,4
Afro-Peruvian Jazz Orchestra,5,5,5,5
Churupaca,5,4,2,2
Mustard,5,5,1,1
Clem Leek,5,5,5,5
Low Roar,5,5,5,5
Soko,5,5,2,2
Over the Garden Wall,5,5,5,5
Koethe,5,5,5,5
Blonde Redhead,5,5,4,4
salvia palth,5,5,2,2
Napoli Centrale,5,3,4,2
Advan Haschi,5,4,4,3
Amazon Ensemble,5,5,3,3
Orla Gartland,5,2,2,2
Coco & Clair Clair,5,5,4,4
Skúli Sverrisson,5,4,4,4
Cécile Corbel,5,2,3,2
ericdoa,5,5,3,3
The Happy Fits,5,5,4,4
NTsKi,5,2,3,2
Margaret Glaspy,5,4,2,2
Richard Dawson,5,5,4,4
Slauson Malone 1,5,3,3,2
4lung,5,5,3,3
The Hellp,5,2,3,2
The Bug,5,5,2,2
Bendik Giske,5,3,3,2
Kike Pinto,5,2,3,2
Scratch Massive,5,4,3,2
Robohands,5,5,5,5
ELIO,5,4,1,1
Népal,5,5,3,3
Fishbach,5,5,2,2
Five Pebbles,5,5,2,2
Jai Paul,5,5,4,4
SASAMI,5,4,3,3
Porridge Radio,5,4,3,2
iLe,5,4,4,3
Girls In Hawaii,5,4,1,1
Ramona Lisa,5,1,3,1
Astra King,5,4,1,1
Little Whale,5,4,4,3
yeule,5,5,4,4
Oldelaf,5,4,2,2
Magnetic Ensemble,5,5,1,1
憂鬱,5,5,4,4
Incorporeal Visions Deluxe,5,5,2,2
bliss3three,5,5,5,5
