Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Kanye West,268,219,117,102
Bby Eco,266,236,24,22
Iron & Wine,265,45,19,10
Eddie Vedder,264,113,16,15
Moriarty,264,210,33,30
The Moody Blues,263,207,99,92
Carla Bruni,262,209,74,72
Haris Alexiou,262,214,78,73
toconoma,261,210,47,43
Jim Croce,260,197,64,60
Shantel,259,194,39,27
Jeremy Loops,259,146,5,3
Anton Bruckner,255,208,128,116
Nero's Day At Disneyland,254,225,44,43
Stefano Bollani,253,140,60,37
Gargäntua,250,199,18,15
Antonio Vivaldi,249,208,81,55
Hiromi,249,176,67,59
Gipsy Kings,247,217,103,98
Franco Battiato,244,178,60,57
Nawa Siã e Kupi Huni Kuin,244,205,11,11
Queen of Saba,242,189,23,22
Led Zeppelin,240,193,84,77
The Jackson 5,240,154,51,47
Creedence Clearwater Revival,237,213,90,88
Johann Strauss II,237,190,98,92
Melody Gardot,234,169,21,19
Eugenio Bennato,233,169,54,48
The Doors,231,144,69,57
Plini,230,185,42,40
serpentwithfeet,229,209,53,51
Iron Maiden,226,132,89,61
Mogwai,225,212,53,50
Marvin Gaye,225,204,170,163
Phil Collins,225,127,61,52
Derek & The Dominos,223,165,30,29
Covet,222,154,28,23
Javier Vazquez,221,190,26,26
Chon,220,185,50,46
MIKA,214,67,77,35
AURORA,213,181,66,58
Quantic,212,161,72,69
LIZOT,211,174,43,39
Sting,209,142,64,48
The Blaze,209,160,28,19
Treacherous Orchestra,208,153,21,20
Kebnekajse,207,163,52,51
Yom,205,172,53,50
Dom La Nena,204,167,21,21
TOTO,203,158,49,47
IC3PEAK,203,171,57,54
The Mamas & The Papas,201,177,47,46
Leonard Bernstein,201,166,73,59
Shubh Saran,200,153,34,33
Arca,200,167,58,57
Modena City Ramblers,199,143,24,20
dashie,198,163,18,16
Eminem,197,121,106,63
Rok.wav,197,169,29,29
Boards of Canada,196,159,55,46
CUBISMO GRAFICO,196,142,21,19
Camila Cabello,195,143,7,5
Green Day,195,90,32,25
Max Cooper,195,179,47,47
Trio Mandili,195,168,26,26
A. G. Cook,192,158,42,41
Erik Satie,191,171,52,48
Planet 1999,191,132,14,12
Justin Bieber,190,60,17,6
Apashe,190,156,45,45
Barbaro Fines y su Mayimbe,190,120,31,28
Alice Longyu Gao,189,156,25,24
Ninajirachi,188,147,31,30
Nick Drake,186,163,33,32
Igorrr,186,149,26,23
Procol Harum,185,154,80,75
Artemas,185,155,26,24
Georges Bizet,184,167,76,71
Tshala Muana,184,148,83,79
Clio,184,173,37,37
EASYFUN,183,163,11,11
Xiu Xiu,181,158,72,69
Deerhoof,181,149,29,28
Aphex Twin,180,146,71,64
Alternative Station,180,124,11,11
Loren Allred,180,43,2,2
Portico Quartet,179,158,60,60
George Gershwin,178,138,101,86
Yoa,178,162,43,41
Daft Punk,177,153,57,54
Scott McKenzie,177,159,15,14
Hammock,176,163,64,63
Jacques Offenbach,176,154,63,52
Childish Gambino,176,132,72,66
Lala Lala,176,151,18,17
Toundra,175,142,36,35
Coldplay,175,29,14,10
King Crimson,173,132,86,66
sonogiove,173,108,18,17
Kendrick Lamar,172,141,81,78
saoirse dream,172,157,29,29
Coline Rio,172,166,36,36
Roy Orbison,170,120,48,45
Puentes,170,152,10,10
Afro-Cuban All Stars,168,120,37,36
Holly Herndon,168,154,35,35
Stevie Wonder,167,129,93,83
SOPHIE,167,144,38,35
GFOTY,167,133,37,34
God Is An Astronaut,165,158,23,21
Liquid Tension Experiment,165,96,14,10
John Mayall,165,116,43,41
Elephant Sessions,165,119,26,25
Cesária Evora,161,129,55,54
Vinicio Capossela,161,97,53,43
Post Malone,159,78,47,38
Ernesto Nazareth,159,127,92,90
Max Richter,159,132,41,39
JPEGMAFIA,159,127,49,45
Grizzly Bear,158,141,28,28
Bruno Mars,158,46,11,7
MEITEI,158,138,20,19
múm,157,139,47,44
"Ambrosian Opera Chorus, I Solisti Veneti & Claudio Scimone",157,121,42,39
The Police,156,119,57,52
TonyPitony,156,118,52,48
Ermal Meta,154,31,4,4
MASTER BOOT RECORD,152,134,69,66
Ben Howard,151,27,11,11
The Band,150,114,33,32
Toots & The Maytals,149,109,28,23
Mike Oldfield,149,126,58,51
Shygirl,149,123,50,44
The Rolling Stones,148,95,64,45
Ten Years After,147,98,35,28
KIDS SEE GHOSTS,147,116,7,7
Los Hijos del sol,147,117,18,17
Gaetano Donizetti,146,122,67,61
Béla Bartók,146,117,120,104
Edoardo Bennato,145,103,58,54
Bernd Alois Zimmermann,145,127,145,127
Lingua Ignota,145,109,20,20
Candy Claws,144,129,13,13
Leah Kate,144,92,1,1
HWLS,143,102,22,20
Simple Plan,142,77,13,13
the olllam,140,104,11,10
Santana,139,91,72,57
Janis Joplin,139,119,43,43
Frost Children,138,129,60,59
Conceptor,137,93,12,12
Richard Strauss,137,121,56,51
Lady Gaga,136,23,26,20
Danny L Harle,136,120,23,21
Mathilde Fernandez,136,117,18,18
LUCKY LOVE,136,118,30,28
Barcelona Gipsy Klezmer Orchestra,135,96,21,21
Jean-Philippe Rameau,134,67,19,16
